Title,Url,Nostr Publickey,Desc,Source,Date(主要開発期間？),ジャンル１,ジャンル２,他キーワード,分類,大分類,小分類
@konemono/nostr-web-components,https://tsukemonogit.github.io/nostr-web-components/,,Webアプリケーションに簡単にNostrプロトコル機能を統合できる、軽量で使いやすいWeb Componentsライブラリ,https://github.com/TsukemonoGit/nostr-web-components,Jul.2025,Nostr,WebComponentライブラリ,Svelte、 rx-nostr nostr-content-parser,WebComponentライブラリ,その他,未分類
@konemono/nostr-content-parser,デモのサイト公開するようにする？今のところサイト作ってないnpmサイトくらいしか,,"NostrのContentパーサー。:emoji:とかurlとかnostr:とかで分ける。
npm install @konemono/nostr-content-parser",https://github.com/TsukemonoGit/nostr-content-parser,Jun.2025,Nostr,ライブラリ,Parser,ライブラリ,ライブラリ・コンポーネント,ライブラリ
@konemono/svelte5-i18n,今のところサイト作ってないnpmサイトとGITHUBしかない,,"svelte5 の i18n 
npm i @konemono/svelte5-i18n",https://github.com/TsukemonoGit/sve5-i18n,May.2025,i18n,ライブラリ,i18n、 Svelte5,ライブラリ,ライブラリ・コンポーネント,i18n
Lumilumi,https://lumilumi.app,,Nostr Web Client 低通信量で使えるモードがあったり、様々な機能がある。継続開発中,https://github.com/TsukemonoGit/lumilumi,Jun.2024 - 2025,Nostr,WebApp,nostr、 svelte、 Svelte5、 sveltekit、 melt-ui、 typescript、 rx-nostr,Webアプリ,アプリケーション,Webアプリ
MAKIMONO,https://makimono.lumilumi.app/,,Nostr Long-Form Content Editor NIP-23 マークダウン記事が書ける,https://github.com/TsukemonoGit/longFormEditor,May 2025,Nostr,WebApp,Skeleton、 Svelte5、 bytemd,Webアプリ,アプリケーション,Webアプリ
Nostr Follow Organizer,https://tsukemonogit.github.io/NFO/,,フォローしてる人の最新の投稿、フォロー状況などを表示し、簡単にフォロー整理ができるツール,https://github.com/TsukemonoGit/NFO,Nov.2024,Nostr,WebApp,sveltejs、@konemono/svelte5-i18n、 @konemono/nostr-share-component,Webアプリ,アプリケーション,Webアプリ
Nostr Share Component,https://tsukemonogit.github.io/nostr-share-component/,,いろんなクライアントがあってどのサイトへの共有ボタンを置こうかな？となるところを一つに集約するようなコンポーネント,https://github.com/TsukemonoGit/nostr-share-component,"Feb , 2025",Nostr,WebComponentライブラリ,svelte,WebComponentライブラリ,ライブラリ・コンポーネント,Web Component
Luminostr,https://tsukemonogit.github.io/luminostr/,,特定のkindの置換可能（replaceable）イベントをいろんなリレーから探しだして、特定の時点でのイベントで上書きする（現在時刻で再書込みする）また、手持ちのローカルJSONファイルで上書きする バックアップツール,https://tsukemonogit.github.io/luminostr/,May.2024,Nostr,WebApp,nostr、 solidjs、 typescript、 SUID、 GithubPages,Webアプリ,アプリケーション,Webアプリ
nostr-iroiro-bot,https://tsukemonogit.github.io/iroirotest/,npub1wgpfshr7xjnur3ytj0vg922nc5jceu3xyp8vjklvanvrvrre995s5lrecv,Nostr関連の情報を定期的に投稿するBotとそれ用のサイト,https://github.com/TsukemonoGit/nostr-iroiro-bot,"Feb , 2024",Nostr,Bot,nostr、 bot、 raspberrypi、 GithubPages、 javascript、 Node.js、 cron,Bot,アプリケーション,Bot
NAKE,https://tsukemonogit.github.io/nake-website/,,NOSTRの hexid⇔NIP-19 (bech32-encoded entities)相互変換可能なウェブ拡張機能,https://github.com/TsukemonoGit/nake,Jun.2024,Nostr,WebExtention,nostr、 solidjs、 typescript、 WebExtension、 WXT,ブラウザ拡張,その他,未分類
random mdn docs bot,,npub1fuffhzfv7xdrm5htde4mp9e5n6ywn763cq6mzxtetyqvsg66kkasp9zzyz,https://developer.mozilla.org/ja/docs/Web のサイトからランダムのページを一定時間間隔でNostrにポスト,https://github.com/TsukemonoGit/mdn_test,"Apr , 2024",Nostr,Bot,nostr、 bot、 python、 githubActions、 サブモジュール,Bot,アプリケーション,Bot
"React Reference Bot
",,npub1cktfz62n0gf098mq7c4np4g35s6ex42p30ae5ar8d2w32zd24kdqa3j6m7,reactのreference ( https://ja.react.dev/reference/react ) からランダムでポストするかもしれないbot,,"Apr, 2024",Nostr,Bot,nostr、 bot、 python、 githubActions、 サブモジュール,Bot,アプリケーション,Bot
Nostr Bookmark Recovery Tool,https://nostr-bookmark-recovery-tool.vercel.app/,,Nostrの消失しがちなブックマークを簡単に（何処かのリレーに古いデータが残っていれば）リカバリーできるツール,https://github.com/TsukemonoGit/nos-bookmark-areyatu,"Apr , 2024",Nostr,WebApp,solidjs、 SUID、 nostr、 typescript、 vercel,Webアプリ,アプリケーション,ソフトウェア
profileを修正するやつ,https://nos-profile-arekore.vercel.app/,,Nostrのプロフィールのcontentの内容を修正するツール,https://github.com/TsukemonoGit/nos-profile-arekore,"Mar , 2024",Nostr,WebApp,solidjs、 bootstrap、 nostr、 typescript、 vercel,Webアプリ,アプリケーション,Webアプリ
fofo,,npub1m054537ssdkqx84va8cv9tankxeestqxk8v95gdvxpwj7n69fslqx4wn3w,"アルフォートを食べすぎてしまうのを防止するために、食べた個数を10分毎にチェックしてNostrに投稿するBot\nロードセル（5 kg）+ HX711 \nカゴは余ってたエコクラフトで手作り\nボタンとLEDと7セグメントLEDもつけてみた,
",https://github.com/TsukemonoGit/fofo-weight,"Apr, 2024",Nostr,Bot,python、 raspberrypi、 nostr、 bot,Bot,アプリケーション,Bot
